Layer,IN_B,MUL_B,AND_B,OUT_B
L0,64,381,0,0
L1,0,669,0,0
L2,0,442,1,0
L3,0,170,1,1
L4,0,170,1,1
L5,0,170,1,1
L6,0,170,1,1
L7,0,170,1,1
L8,0,170,1,1
L9,0,170,1,1
L10,0,170,1,1
L11,0,170,1,1
L12,0,170,1,1
L13,0,170,1,1
L14,0,170,1,1
L15,0,170,1,1
L16,0,170,1,1
L17,0,170,1,1
L18,0,170,1,1
L19,0,170,1,1
L20,0,170,1,1
L21,0,170,1,1
L22,0,170,1,1
L23,0,170,1,1
L24,0,170,1,1
L25,0,170,1,1
L26,0,170,1,1
L27,0,170,1,1
L28,0,170,1,1
L29,0,170,1,1
L30,0,170,1,1
L31,0,92,1,1
L32,0,29,1,1
L33,0,14,1,1
L34,0,0,0,1
